Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,13.88717776391428,70.28650815202616,5.565486014458716,17.57986397054349,111.93173975266309,7.278754449238901
Validation-MSE,3.34626544436344,28.45409818577695,1.5756543005535353,3.530051069850496,33.48335115759298,3.357006899748452
testing-MAE,2.886843853192085,6.036341662225613,1.818153278109228,3.092256736937721,8.287957532489932,2.1005684753314267
validation-MAE,1.4375371788541518,4.025097049236339,1.0030777520011926,1.454642496592307,4.3209539360287,1.3797505764173559
testing-mape,7.208153739777489,12.18511959470339,4.072990455468711,7.756282185435188,10.5837972145038,10.819715519463669
validation-mape,3.9023748184647062,9.035122686275345,2.404742895163346,3.3135706728092673,6.3378734713588685,7.073208744696087
testing-RMSE,3.1331324806788845,6.593773471073371,2.0573913643519792,3.3559917596052236,8.706489796487382,2.345365877266018
validation-RMSE,1.678681707752115,4.434198256136153,1.1833017933750003,1.6792720106268504,4.917990561655368,1.5759235415149073
testing-MPE,-1.604276975512359,9.940983863811464,2.603807969007698,5.625985195692753,9.906190486770715,-4.977971995410606
validation-MPE,0.1502280108588061,4.8494874533167245,0.4798113380684613,1.4928368523520597,4.046992300665511,-2.8917675152998745
